Country,Region,Density,Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital,Currency-Code,Forested Area (%),Largest city,Life expectancy,Official language
Afghanistan,ASIA         ,60,0.581,652230,323000,32.49,93,Kabul,AFN,0.021,Kabul,64.5,Pashto
Albania,EASTERN EUROPE                     ,105,0.431,28748,9000,11.78,355,Tirana,ALL,0.281,Tirana,78.5,Albanian
Algeria,NORTHERN AFRICA                    ,18,0.174,2381741,317000,24.28,213,Algiers,DZD,0.008,Algiers,76.7,Arabic
Andorra,WESTERN EUROPE                     ,164,0.4,468,,7.2,376,Andorra la Vella,EUR,0.34,Andorra la Vella,,Catalan
Angola,SUB-SAHARAN AFRICA                 ,26,0.475,1246700,117000,40.73,244,Luanda,AOA,0.463,Luanda,60.8,Portuguese
Antigua and Barbuda,LATIN AMER. & CARIB    ,223,0.205,443,0,15.33,1,"St. John's, Saint John",XCD,0.223,"St. John's, Saint John",76.9,English
Argentina,LATIN AMER. & CARIB    ,17,0.543,2780400,105000,17.02,54,Buenos Aires,ARS,0.098,Buenos Aires,76.5,Spanish
Armenia,C.W. OF IND. STATES ,104,0.589,29743,49000,13.99,374,Yerevan,AMD,0.117,Yerevan,74.9,Armenian
Australia,OCEANIA                            ,3,0.482,7741220,58000,12.6,61,Canberra,AUD,0.163,Sydney,82.7,None
Austria,WESTERN EUROPE                     ,109,0.324,83871,21000,9.7,43,Vienna,EUR,0.469,Vienna,81.6,German
Azerbaijan,C.W. OF IND. STATES ,123,0.577,86600,82000,14,994,Baku,AZN,0.141,Baku,72.9,Azerbaijani
The Bahamas,LATIN AMER. & CARIB    ,39,0.014,13880,1000,13.97,1,"Nassau, Bahamas",,0.514,"Nassau, Bahamas",73.8,English
Bahrain,NEAR EAST                          ,2239,0.111,765,19000,13.99,973,Manama,BHD,0.008,Riffa,77.2,Arabic
Bangladesh,ASIA         ,1265,0.706,148460,221000,18.18,880,Dhaka,BDT,0.11,Dhaka,72.3,Bengali
Barbados,LATIN AMER. & CARIB    ,668,0.233,430,1000,10.65,1,Bridgetown,BBD,0.147,Bridgetown,79.1,English
Belarus,C.W. OF IND. STATES ,47,0.42,207600,155000,9.9,375,Minsk,BYN,0.426,Minsk,74.2,Russian
Belgium,WESTERN EUROPE                     ,383,0.446,30528,32000,10.3,32,City of Brussels,EUR,0.226,Brussels,81.6,French
Belize,LATIN AMER. & CARIB    ,17,0.07,22966,2000,20.79,501,Belmopan,BZD,0.597,Belize City,74.5,English
Benin,SUB-SAHARAN AFRICA                 ,108,0.333,112622,12000,36.22,229,Porto-Novo,XOF,0.378,Cotonou,61.5,French
Bhutan,ASIA         ,20,0.136,38394,6000,17.26,975,Thimphu,,0.725,Thimphu,71.5,Dzongkha
Bolivia,LATIN AMER. & CARIB    ,11,0.348,1098581,71000,21.75,591,Sucre,BOB,0.503,Santa Cruz de la Sierra,71.2,Spanish
Bosnia and Herzegovina,EASTERN EUROPE                     ,64,0.431,51197,11000,8.11,387,Sarajevo,BAM,0.427,Tuzla Canton,77.3,Bosnian
Botswana,SUB-SAHARAN AFRICA                 ,4,0.456,581730,9000,24.82,267,Gaborone,BWP,0.189,Gaborone,69.3,English
Brazil,LATIN AMER. & CARIB    ,25,0.339,8515770,730000,13.92,55,Brasilia,BRL,0.589,Sao Paulo,75.7,Portuguese
Brunei,ASIA         ,83,0.027,5765,8000,14.9,673,Bandar Seri Begawan,BND,0.721,Bandar Seri Begawan,75.7,Malay
Bulgaria,EASTERN EUROPE                     ,64,0.463,110879,31000,8.9,359,Sofia,BGN,0.354,Sofia,74.9,Bulgarian
Burkina Faso,SUB-SAHARAN AFRICA                 ,76,0.442,274200,11000,37.93,226,Ouagadougou,XOF,0.193,Ouagadougou,61.2,French
Burundi,SUB-SAHARAN AFRICA                 ,463,0.792,27830,31000,39.01,257,Bujumbura,BIF,0.109,Bujumbura,61.2,Kirundi
Ivory Coast,SUB-SAHARAN AFRICA                 ,83,0.648,322463,27000,35.74,225,Yamoussoukro,XOF,0.327,Abidjan,57.4,French
Cape Verde,SUB-SAHARAN AFRICA                 ,138,0.196,4033,1000,19.49,238,Praia,CVE,0.225,Praia,72.8,Portuguese
Cambodia,ASIA         ,95,0.309,181035,191000,22.46,855,Phnom Penh,,0.529,Phnom Penh,69.6,Khmer
Cameroon,SUB-SAHARAN AFRICA                 ,56,0.206,475440,24000,35.39,237,Yaounde,XAF,0.393,Douala,58.9,French
Canada,NORTHERN AMERICA                   ,4,0.069,9984670,72000,10.1,1,Ottawa,CAD,0.382,Toronto,81.9,French
Central African Republic,SUB-SAHARAN AFRICA                 ,8,0.082,622984,8000,35.35,236,Bangui,,0.356,Bangui,52.8,French
Chad,SUB-SAHARAN AFRICA                 ,13,0.397,1284000,35000,42.17,235,N'Djamena,XAF,0.038,N'Djamena,54,French
Chile,LATIN AMER. & CARIB    ,26,0.212,756096,122000,12.43,56,Santiago,CLP,0.243,Santiago,80,Spanish
China,ASIA         ,153,0.562,9596960,2695000,10.9,86,Beijing,CNY,0.224,Shanghai,77,Standard Chinese
Colombia,LATIN AMER. & CARIB    ,46,0.403,1138910,481000,14.88,57,Bogota,COP,0.527,Bogota,77.1,Spanish
Comoros,SUB-SAHARAN AFRICA                 ,467,0.715,2235,,31.88,269,"Moroni, Comoros",KMF,0.197,"Moroni, Comoros",64.1,French
Republic of the Congo,SUB-SAHARAN AFRICA                 ,16,0.311,342000,12000,32.86,242,Brazzaville,XAF,0.654,Brazzaville,64.3,French
Costa Rica,LATIN AMER. & CARIB    ,100,0.345,51100,10000,13.97,506,San Jose,CRC,0.546,San Jose,80.1,Spanish
Croatia,EASTERN EUROPE                     ,73,0.276,56594,18000,9,385,Zagreb,HRK,0.344,Zagreb,78.1,Croatian
Cuba,LATIN AMER. & CARIB    ,106,0.599,110860,76000,10.17,53,Havana,CUP,0.313,Havana,78.7,Spanish
Cyprus,NEAR EAST                          ,131,0.122,9251,16000,10.46,357,Nicosia,EUR,0.187,Nicosia,80.8,Greek
Czech Republic,EASTERN EUROPE                     ,139,0.452,78867,23000,10.7,420,Prague,CZK,0.346,Prague,79,Czech
Democratic Republic of the Congo,SUB-SAHARAN AFRICA                 ,40,0.116,2344858,134000,41.18,243,Kinshasa,CDF,0.672,Kinshasa,60.4,French
Denmark,WESTERN EUROPE                     ,137,0.62,43094,15000,10.6,45,Copenhagen,DKK,0.147,Copenhagen,81,Danish
Djibouti,SUB-SAHARAN AFRICA                 ,43,0.734,23200,13000,21.47,253,Djibouti City,DJF,0.002,Djibouti City,66.6,French
Dominica,LATIN AMER. & CARIB    ,96,0.333,751,,12,1,Roseau,XCD,0.574,Roseau,76.6,English
Dominican Republic,LATIN AMER. & CARIB    ,225,0.487,48670,71000,19.51,1,Santo Domingo,DOP,0.417,Santo Domingo,73.9,Spanish
Ecuador,LATIN AMER. & CARIB    ,71,0.222,283561,41000,19.72,593,Quito,USD,0.502,Quito,76.8,Spanish
Egypt,NORTHERN AFRICA                    ,103,0.038,1001450,836000,26.38,20,Cairo,EGP,0.001,Cairo,71.8,Modern Standard Arabic
El Salvador,LATIN AMER. & CARIB    ,313,0.764,21041,42000,18.25,503,San Salvador,,0.126,San Salvador,73.1,Spanish
Equatorial Guinea,SUB-SAHARAN AFRICA                 ,50,0.101,28051,1000,33.24,240,Malabo,XAF,0.555,Malabo,58.4,Spanish
Eritrea,SUB-SAHARAN AFRICA                 ,35,0.752,117600,202000,30.3,291,Asmara,ERN,0.149,Asmara,65.9,Tigrinya
Estonia,BALTICS                            ,31,0.231,45228,6000,10.9,372,Tallinn,EUR,0.513,Tallinn,78.2,Estonian
Eswatini,SUB-SAHARAN AFRICA                 ,67,,17364,,,268,Mbabane,,,Mbabane,,English
Ethiopia,SUB-SAHARAN AFRICA                 ,115,0.363,1104300,138000,32.34,251,Addis Ababa,ETB,0.125,Addis Ababa,66.2,Amharic
Fiji,OCEANIA                            ,49,0.233,18274,4000,21.28,679,Suva,FJD,0.559,Suva,67.3,Fiji Hindi
Finland,WESTERN EUROPE                     ,18,0.075,338145,25000,8.6,358,Helsinki,EUR,0.731,Helsinki,81.7,Swedish
France,WESTERN EUROPE                     ,119,0.524,643801,307000,11.3,33,Paris,EUR,0.312,Paris,82.5,French
Gabon,SUB-SAHARAN AFRICA                 ,9,0.2,267667,7000,31.61,241,Libreville,XAF,0.9,Libreville,66.2,French
The Gambia,SUB-SAHARAN AFRICA                 ,239,0.598,11300,1000,38.54,220,Banjul,GMD,0.484,Serekunda,61.7,English
Georgia,C.W. OF IND. STATES ,57,0.345,69700,26000,13.47,995,Tbilisi,GEL,0.406,Tbilisi,73.6,Georgian
Germany,WESTERN EUROPE                     ,240,0.477,357022,180000,9.5,49,Berlin,EUR,0.327,Berlin,80.9,German
Ghana,SUB-SAHARAN AFRICA                 ,137,0.69,238533,16000,29.41,233,Accra,GHS,0.412,Accra,63.8,English
Greece,WESTERN EUROPE                     ,81,0.476,131957,146000,8.1,30,Athens,EUR,0.317,Macedonia,81.3,Greek
Grenada,LATIN AMER. & CARIB    ,331,0.235,349,,16.47,1,"St. George's, Grenada",XCD,0.5,"St. George's, Grenada",72.4,English
Guatemala,LATIN AMER. & CARIB    ,167,0.36,108889,43000,24.56,502,Guatemala City,GTQ,0.327,Guatemala City,74.1,Spanish
Guinea,SUB-SAHARAN AFRICA                 ,53,0.59,245857,13000,36.36,224,Conakry,GNF,0.258,Kankan,61.2,French
Guinea-Bissau,SUB-SAHARAN AFRICA                 ,70,0.58,36125,4000,35.13,245,Bissau,XOF,0.698,Bissau,58,Portuguese
Guyana,LATIN AMER. & CARIB    ,4,0.086,214969,3000,19.97,592,"Georgetown, Guyana",GYD,0.839,"Georgetown, Guyana",69.8,English
Haiti,LATIN AMER. & CARIB    ,414,0.668,27750,0,24.35,509,Port-au-Prince,HTG,0.035,Port-au-Prince,63.7,French
Vatican City,WESTERN EUROPE                     ,2003,,0,,,379,Vatican City,EUR,,Vatican City,,Italian
Honduras,LATIN AMER. & CARIB    ,89,0.289,112090,23000,21.6,504,Tegucigalpa,HNL,0.4,Tegucigalpa,75.1,Spanish
Hungary,EASTERN EUROPE                     ,107,0.584,93028,40000,9.6,36,Budapest,HUF,0.229,Budapest,75.8,Hungarian
Iceland,WESTERN EUROPE                     ,3,0.187,103000,0,12,354,Reykjavik,ISK,0.005,Reykjavik,82.7,Icelandic
India,ASIA         ,464,0.604,3287263,3031000,17.86,91,New Delhi,INR,0.238,Kurebhar,69.4,Hindi
Indonesia,ASIA         ,151,0.315,1904569,676000,18.07,62,Jakarta,IDR,0.499,Kalimantan,71.5,Indonesian
Iran,ASIA         ,52,0.282,1648195,563000,18.78,98,Tehran,IRR,0.066,Tehran,76.5,Persian
Iraq,NEAR EAST                          ,93,0.214,438317,209000,29.08,964,Baghdad,IQD,0.019,Baghdad,70.5,Arabic
Republic of Ireland,WESTERN EUROPE                     ,72,0.645,70273,9000,12.5,353,Dublin,EUR,0.11,Connacht,82.3,Irish
Israel,NEAR EAST                          ,400,0.246,20770,178000,20.8,972,Jerusalem,ILS,0.077,Jerusalem,82.8,Hebrew
Italy,WESTERN EUROPE                     ,206,0.432,301340,347000,7.3,39,Rome,EUR,0.318,Rome,82.9,Italian
Jamaica,LATIN AMER. & CARIB    ,273,0.41,10991,4000,16.1,1876,"Kingston, Jamaica",JMD,0.309,"Kingston, Jamaica",74.4,Jamaican English
Japan,ASIA         ,347,0.123,377944,261000,7.4,81,Tokyo,,0.685,Tokyo,84.2,None
Jordan,NEAR EAST                          ,115,0.12,89342,116000,21.98,962,Amman,JOD,0.011,Amman,74.4,Arabic
